Player,Mat,Inns,NO,Runs,Ave,SR,HS,50s,100s,0s,4s,6s,Balls, 
Alex Burriel,11,8,2,121,20.16666667,,46,0,0,1,14,4,0,
Rhys Byrne,11,8,0,22,2.75,,5,0,0,1,2,0,0,
M Callanan,24,21,5,363,22.6875,,90,2,0,0,26,7,0,
Anthony Campbell,89,72,16,1014,18.10714286,,71,3,0,6,128,4,0,
J Capel,1,0,0,0,-,,0,0,0,0,0,0,0,
C Carline,1,1,0,19,19,,19,0,0,0,2,1,0,
Conor Carson,3,2,1,13,13,,10,0,0,0,0,0,0,
Simon Carson,158,110,28,886,10.80487805,,51,1,0,15,116,4,0,
T Cawkwell,6,5,2,14,4.666666667,,5,0,0,1,1,0,0,
Kevin Chau,34,27,4,75,3.260869565,52.08333333,12,0,0,11,5,0,144,
A Chowdhary,1,1,0,6,6,,6,0,0,0,1,0,0,
C Chowdry,1,1,0,0,0,,0,0,0,1,0,0,0,
B Clark,25,22,4,339,18.83333333,,78,2,0,6,13,0,0,
Dave Conway,30,22,1,362,17.23809524,,46,0,0,0,22,0,0,
J Cooper,12,7,1,22,3.666666667,,15,0,0,3,0,0,0,
Robert Cox,319,211,50,1575,9.782608696,,87,2,0,35,55,0,0,
N Creek,16,16,3,95,7.307692308,,28,0,0,4,8,0,0,
M Crew,1,1,0,0,0,,0,0,0,1,0,0,0,
V Cruickshank,2,1,0,3,3,,3,0,0,0,0,0,0,
S Dalton,4,4,0,57,14.25,,28,0,0,0,5,0,0,
Dyll Davies,261,241,39,5752,28.47524752,,123,35,3,19,123,2,0,
Harry Davies,55,32,8,127,5.291666667,,22,0,0,7,7,0,0,
J Davies,1,0,0,0,-,,0,0,0,0,0,0,0,
L Derbyshire,5,5,0,197,39.4,,67,3,0,0,17,7,0,
P Derbyshire,2,1,0,0,0,,0,0,0,1,0,0,0,
D Diamond,2,2,0,3,1.5,,3,0,0,1,0,0,0,
Hamish Dowell,21,19,2,414,24.35294118,,51,1,0,1,24,4,0,
Nicko Dowell,76,69,10,2494,42.27118644,,213,14,5,1,241,11,0,
M Dudley,3,3,0,22,7.333333333,,12,0,0,1,0,0,0,
Gordon Dunne,1,1,1,1,-,16.66666667,1*,0,0,0,0,0,6,
H Ewinger,20,20,1,360,18.94736842,,100,1,1,1,39,1,0,
E Feast,9,8,3,7,1.4,,4,0,0,3,0,0,0,
Chris Feeney,163,141,20,1721,14.2231405,,63,1,0,17,118,1,0,
P Fenech,13,12,0,88,7.333333333,,48,0,0,7,11,2,0,
T Flavin,1,1,0,16,16,,16,0,0,0,0,0,0,
S Follows,67,53,10,238,5.534883721,,27,0,0,15,24,1,0,
J Fowler,12,12,2,167,16.7,,62,1,0,3,16,3,0,
Sav Gatfield,26,21,4,238,14,,63,2,0,6,28,4,0,
Peter Garlando,3,2,1,1,1,14.28571429,1,0,0,0,0,0,7,
C Gibbons,1,1,0,1,1,,1,0,0,0,0,0,0,
Simon Gillman,129,81,29,518,9.961538462,,74,2,0,15,30,6,0,
R Gladstone,15,14,3,452,41.09090909,,148,1,1,0,46,22,0,
Patrick Gledhill,97,79,12,725,10.82089552,,72,1,0,17,57,0,0,
Ben Glover,17,17,1,128,8,,38,0,0,3,13,2,0,
Liam Gray,40,31,7,284,11.83333333,,48,0,0,4,24,3,0,
Joe Green,31,15,6,46,5.111111111,,17,0,0,4,4,1,0,
J Habib,1,1,1,23,-,,23*,0,0,0,4,0,0,
Steve Hamer,84,80,6,1656,22.37837838,,101,7,2,7,153,4,0,
A Hargreaves,23,22,1,188,8.952380952,,24,0,0,3,22,2,0,
Julian Harris,2,2,0,31,15.5,140.9090909,28,0,0,0,3,1,22,
D Harvey,1,1,0,11,11,55,11,0,0,0,1,0,20,
Tim Hapgood,1,1,1,54,-,73.97260274,54*,1,0,0,9,0,73,
Leo Hawkins,8,5,1,62,15.5,73.80952381,22*,0,0,1,10,0,84,
J Henderson,1,1,0,9,9,,9,0,0,0,1,0,0,
Carl Hey,4,2,0,3,1.5,,3,0,0,1,0,0,0,
M Hiley,23,23,0,695,30.2173913,,66,3,0,1,75,10,0,
R Hobbs,22,13,3,44,4.4,,13,0,0,5,6,1,0,
D Hooper,25,17,5,128,10.66666667,,27,0,0,3,5,0,0,
Scott Hoskin,127,89,16,818,11.20547945,,79,1,0,23,75,16,0,
S Houchin,146,130,20,1528,13.89090909,,60,2,0,13,28,0,0,
F Hussain,32,31,3,428,15.28571429,,42,0,0,1,40,0,0,
S Hussain,104,82,13,361,5.231884058,,24,0,0,22,30,6,0,
Ben Hynes,23,19,4,871,58.06666667,,124,5,2,0,76,41,0,
Paul Hynes,53,50,8,1907,45.4047619,,152,8,5,17,242,22,0,
P Jack,1,1,0,8,8,61.53846154,8,0,0,0,1,0,13,
James Jackson,152,140,13,1099,8.653543307,,42,0,0,36,111,18,0,
Luke Jackson,1,1,0,1,1,,1,0,0,0,0,0,0,
F Jagger,5,4,0,71,17.75,,34,0,0,1,13,0,0,
Tom James,17,17,2,361,24.06666667,,76,2,0,2,38,0,0,
? Jarpesh,1,1,0,23,23,,23,0,0,0,5,0,0,
W Jeans,1,1,0,1,1,,1,0,0,0,0,0,0,
T Jeffcott,1,1,0,21,21,,21,0,0,0,3,0,0,
M Johnston,1,1,0,6,6,,6,0,0,0,0,0,0,
A Jones,4,4,1,14,4.666666667,,10,0,0,2,1,0,0,
Ben Jones,2,2,0,15,7.5,,11,0,0,0,0,0,0,
G Jones,1,1,0,3,3,,3,0,0,0,0,0,0,
Matt Jones,18,14,0,96,6.857142857,60.75949367,28,0,0,5,9,0,158,
Sid Kalita,4,4,0,9,2.25,,5,0,0,1,0,0,0,
Robert Keogh,46,43,4,337,8.641025641,,46,0,0,10,44,0,0,
Nasser Khan,253,243,19,4708,21.01785714,,83,20,0,24,118,3,0,
H Kibble,1,0,0,0,-,,0,0,0,0,0,0,0,
M King,4,2,1,0,0,,0,0,0,1,0,0,0,
D Kingston,15,11,2,56,6.222222222,,21,0,0,4,5,0,0,
J Kirwan,1,0,0,0,-,,0,0,0,0,0,0,0,
S Kripalani,6,6,0,24,4,,11,0,0,0,0,0,0,
Bala Krishna,12,9,2,103,14.71428571,68.21192053,35,0,0,0,9,3,151,
Arvind Kumar,140,125,30,1599,16.83157895,,85,3,0,9,74,1,0,
M Lachmann,14,14,1,162,12.46153846,,36,0,0,3,3,0,0,
Paul Lane,76,71,8,742,11.77777778,,72,2,0,0,62,0,0,
G Le Grange,40,36,6,673,22.43333333,,53,2,0,3,73,2,0,
Piran Legg,1,1,1,17,-,130.7692308,17*,0,0,0,2,0,13,
J Lewen,2,2,0,0,0,,0,0,0,2,0,0,0,
H Lewis,16,16,2,130,9.285714286,,36,0,0,3,19,0,0,
Chris Lilford,19,14,5,223,24.77777778,88.84462151,43*,0,0,3,30,1,251,
J Lloyd,20,19,1,72,4,,11,0,0,5,5,1,0,
Tom Lockhart,130,119,14,1643,15.64761905,,79,2,0,13,195,18,0,
Tom Lonnen,363,280,87,4215,21.83937824,,106,13,2,35,356,81,0,
Ross Lonsdale,9,3,1,28,14,50,27,0,0,1,3,0,56,
D Machine,1,1,1,0,-,,0*,0,0,0,0,0,0,
Christian Maclaren,3,2,0,42,21,,28,0,0,0,2,7,0,
N Macrides,3,3,0,30,10,,25,0,0,1,3,2,0,
R Madabushi,27,25,2,175,7.608695652,,27,0,0,4,22,0,0,
Harry Madley,4,2,1,10,10,,10,0,0,1,1,0,0,
M Magill,33,26,6,140,7,,28,0,0,7,8,0,0,
C Maharaj,6,6,0,33,5.5,,22,0,0,3,2,0,0,
B Marshall,10,8,2,21,3.5,,12,0,0,3,1,0,0,
K McEvoy,33,32,6,263,10.11538462,,23,0,0,3,28,0,0,
B McGhee,6,6,0,156,26,,63,1,0,2,18,6,0,
R McHarg,28,24,3,431,20.52380952,,90,3,0,2,35,3,0,
J McHugh,2,2,0,28,14,,19,0,0,0,3,0,0,
C McNee,37,34,2,503,15.71875,,62,2,0,7,48,6,0,
J Meade,92,77,9,498,7.323529412,,48,0,0,15,0,0,0,
Dan Meek,1,1,0,23,23,95.83333333,23,0,0,0,5,0,24,
Freddie Mills,82,73,11,1772,28.58064516,,132,10,2,13,160,47,0,
M Mittal,10,10,1,38,4.222222222,,11,0,0,3,2,0,0,
Aruran Morgan,33,23,5,247,13.72222222,,41,0,0,4,16,1,0,
J Murphy,3,2,0,78,39,,61,1,0,0,10,0,0,
N Murphy,4,4,1,33,11,,26,0,0,0,0,0,0,
D Murray,14,14,0,177,12.64285714,,54,1,0,1,21,0,0,
R Nair,2,2,1,8,8,50,8,0,0,1,1,0,16,
K Nasir,1,0,0,0,-,,0,0,0,0,0,0,0,
R Nataraju,21,18,7,74,6.727272727,,14,0,0,6,8,2,0,
A Nicholls,1,1,0,2,2,,2,0,0,0,0,0,0,
B Nicholls,16,15,0,63,4.2,,16,0,0,7,8,0,0,
J O'Hara,17,15,2,58,4.461538462,,13,0,0,4,5,0,0,
T Orr,33,22,5,138,8.117647059,,16,0,0,4,10,0,0,
Zain O'Sullivan,1,1,0,2,2,,2,0,0,0,0,0,0,
Chris Ovens,33,31,3,676,24.14285714,92.98486933,69,2,0,1,81,10,727,
M Owen,6,6,0,60,10,,19,0,0,0,6,0,0,
T Oxenham,1,0,0,0,-,,0,0,0,0,0,0,0,
N Palmer,10,5,3,22,11,,14,0,0,0,1,0,0,
S Pande,1,1,0,4,4,,4,0,0,0,0,0,0,
R Paramo,15,10,0,10,1,,4,0,0,5,0,0,0,
Leon Parks,273,262,17,4193,17.11428571,,103,14,2,25,308,12,0,
H Parnell,16,11,4,75,10.71428571,,24,0,0,1,4,0,0,
N Paropkari,2,2,1,76,76,83.51648352,69*,1,0,0,10,0,91,
L Patel,90,87,8,1606,20.32911392,,101,6,2,9,129,5,0,
N Patel,1,0,0,0,-,,0,0,0,0,0,0,0,
S Patel,2,1,0,2,2,,2,0,0,0,0,0,0,
Ashish Paul,115,77,24,763,14.39622642,,59,2,0,9,61,1,0,
C Penton,1,0,0,0,-,,0,0,0,0,0,0,0,
E Perry,11,10,0,126,12.6,,50,1,0,4,14,3,0,
P Peters,170,138,17,1660,13.71900826,,88,4,0,20,9,0,0,
R Phillips,41,30,5,214,8.56,,32,0,0,7,26,2,0,
D Pinnock,1,1,0,0,0,,0,0,0,1,0,0,0,
Ed Pizii,3,3,1,2,1,10,2*,0,0,2,0,0,20,
C Ponnaganti,17,14,3,150,13.63636364,,30,0,0,1,11,3,0,
S Poole,2,2,0,88,44,,70,1,0,0,10,6,0,
A Pratten,1,0,0,0,-,,0,0,0,0,0,0,0,
Ajit Prasad,18,9,4,75,15,64.65517241,22*,0,0,0,6,0,116,
Duray Pretorius,63,50,15,1073,30.65714286,,92,8,0,4,132,25,0,
T Pring,78,65,7,958,16.51724138,,72,6,0,10,56,15,0,
S Raghavan,13,12,2,311,31.1,,65,1,0,0,26,2,0,
V Raman,15,14,1,494,38,,117,3,1,0,44,5,0,
? Ranjan,1,1,0,13,13,,13,0,0,0,0,0,0,
N Rashid,67,63,14,1991,40.63265306,,127,11,4,3,32,4,0,
A Ratyna,43,39,10,418,14.4137931,,53,1,0,5,42,3,0,
A Reed,50,46,4,238,5.666666667,,30,0,0,18,26,1,0,
E Reed,5,4,0,15,3.75,,10,0,0,1,1,0,0,
M Rees,44,39,0,123,3.153846154,,16,0,0,10,9,1,0,
I Reham,1,0,0,0,-,,0,0,0,0,0,0,0,
R Richardson,30,27,1,584,22.46153846,,69,2,0,4,71,8,0,
Matt Ridgway,265,228,41,4208,22.5026738,,123,17,3,21,320,68,0,
Nick Ridgway,271,255,18,4181,17.64135021,,79,17,0,42,365,30,0,
D Riley,3,3,0,32,10.66666667,,18,0,0,1,2,0,0,
Dave Risley,7,7,2,129,25.8,74.56647399,78,1,0,1,15,2,173,
Nick Risley,1,1,1,20,-,80,20*,0,0,0,2,0,25,
R Ronald,1,1,0,0,0,,0,0,0,1,0,0,0,
Humphrey Rose,2,1,0,15,15,,15,0,0,0,0,0,0,
Jon Ryves,4,3,1,25,12.5,40.98360656,15,0,0,0,4,0,61,
H Sayer,1,1,0,4,4,,4,0,0,0,0,0,0,
N Scott,7,6,2,22,5.5,,9,0,0,2,2,0,0,
W Seymour,4,2,1,7,7,,7,0,0,1,1,0,0,
T Sharif,1,1,0,1,1,,1,0,0,0,0,0,0,
S Shaz,1,1,0,0,0,,0,0,0,1,0,0,0,
E Shelley,1,1,0,2,2,,2,0,0,0,0,0,0,
R Siddu,3,3,0,15,5,,15,0,0,2,1,1,0,
R Simkins,9,9,0,144,16,,55,1,0,2,19,8,0,
W Skidelsky,40,38,6,1279,39.96875,,108,10,1,2,48,0,0,
Will Smibert,1,1,0,95,95,193.877551,95,1,0,0,14,5,49,
E Smith,1,0,0,0,-,,0,0,0,0,0,0,0,
P Smith,9,7,0,54,7.714285714,,19,0,0,2,2,0,0,
James Spence,5,5,0,207,41.4,90,72,1,0,0,34,2,230,
Matt Spencer,8,5,0,27,5.4,48.21428571,12,0,0,2,4,0,56,
R Srivastava,84,79,4,590,7.866666667,,39,0,0,18,45,0,0,
Nigel Stephenson,77,46,14,179,5.59375,,22,0,0,9,16,0,0,
A Stewart,3,3,1,52,26,,52,1,0,2,0,0,0,
Ben Stinson,4,4,1,166,55.33333333,,62,2,0,0,4,0,0,
M Strachan,32,32,2,540,18,,73,1,0,7,56,8,0,
H Suri,1,1,0,7,7,53.84615385,7,0,0,0,1,0,13,
Sid Swaminathan,47,38,10,326,11.64285714,,47,0,0,2,26,0,0,
R Taberer,10,8,0,15,1.875,,10,0,0,6,3,0,0,
T Tearle,27,26,1,274,10.96,,49,0,0,3,31,2,0,
P Timmis,3,1,0,1,1,,1,0,0,0,0,0,0,
C Tindale,1,1,0,10,10,,10,0,0,0,2,0,0,
James Tisato,20,20,3,726,42.70588235,100.137931,93,3,0,1,101,13,725,
A Titley,1,1,0,0,0,,0,0,0,1,0,0,0,
A Tolhurst,84,60,15,181,4.022222222,,22,0,0,19,2,0,0,
Rory Turner,14,13,2,524,47.63636364,,93*,5,0,1,52,0,0,
A Verma,1,1,0,3,3,,3,0,0,0,0,0,0,
Ronny Waas,1,1,0,1,1,50,1,0,0,0,0,0,2,
J Walding,10,9,1,8,1,,5,0,0,6,1,0,0,
Henry Webster,18,16,1,141,9.4,,24,0,0,0,9,1,0,
A Whale,18,18,0,382,21.22222222,,46,0,0,0,43,2,0,
Max Whiting,15,15,1,345,24.64285714,276,105,1,1,0,31,0,125,
M Wilkinson,4,2,1,1,1,,1,0,0,0,0,0,0,
Simon Wilkinson,324,181,83,641,6.540816327,,40,0,0,49,21,0,0,
A Willden,1,0,0,0,-,,0,0,0,0,0,0,0,
Harry Willden,222,149,38,1118,10.07207207,,48,0,0,29,7,0,0,
A Williams,5,5,1,12,3,,6,0,0,0,1,0,0,
Huw Williams,2,2,0,1,0.5,,1,0,0,1,0,0,0,
Hilton Williams,1,0,0,0,-,,0,0,0,0,0,0,0,
Joe Williams,1,1,1,1,-,100,1*,0,0,0,0,0,1,
P Winslow,1,1,0,8,8,,8,0,0,0,1,0,0,
Ed Woolcock,5,3,1,71,35.5,58.19672131,52,1,0,0,5,1,122,
Grant Wolledge,120,105,15,1195,13.27777778,,70*,2,0,15,106,7,0,
M Worden,19,19,1,176,9.777777778,,34,0,0,3,18,0,0,
R Wyllie,25,25,0,377,15.08,,68,2,0,5,39,1,0,
V Yadab,1,1,0,17,17,,17,0,0,0,1,0,0,
? Yadav,1,1,0,2,2,,2,0,0,0,0,0,0,
